"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"POL","Poland","LRHUTTMA","Unemployment rate (monthly), Total, Males","STSA","Level, rate or quantity series, s.a.","M","Monthly","2020-01","Jan-2020","PC","Percentage","0","Units",,,2.9,,
"POL","Poland","LRHUTTMA","Unemployment rate (monthly), Total, Males","STSA","Level, rate or quantity series, s.a.","M","Monthly","2020-02","Feb-2020","PC","Percentage","0","Units",,,3,,
"POL","Poland","LRHUTTMA","Unemployment rate (monthly), Total, Males","STSA","Level, rate or quantity series, s.a.","M","Monthly","2020-03","Mar-2020","PC","Percentage","0","Units",,,2.9,,
"POL","Poland","LRHUTTMA","Unemployment rate (monthly), Total, Males","STSA","Level, rate or quantity series, s.a.","M","Monthly","2020-04","Apr-2020","PC","Percentage","0","Units",,,3.1,,
"POL","Poland","LRHUTTMA","Unemployment rate (monthly), Total, Males","STSA","Level, rate or quantity series, s.a.","M","Monthly","2020-05","May-2020","PC","Percentage","0","Units",,,3.2,,
"POL","Poland","LRHUTTMA","Unemployment rate (monthly), Total, Males","STSA","Level, rate or quantity series, s.a.","M","Monthly","2020-06","Jun-2020","PC","Percentage","0","Units",,,3.2,,
"POL","Poland","LRHUTTMA","Unemployment rate (monthly), Total, Males","STSA","Level, rate or quantity series, s.a.","M","Monthly","2020-07","Jul-2020","PC","Percentage","0","Units",,,3.1,,
"POL","Poland","LRHUTTMA","Unemployment rate (monthly), Total, Males","STSA","Level, rate or quantity series, s.a.","M","Monthly","2020-08","Aug-2020","PC","Percentage","0","Units",,,3,,
"POL","Poland","LRHUTTTT","Unemployment rate (monthly), Total, All persons","STSA","Level, rate or quantity series, s.a.","M","Monthly","2019-07","Jul-2019","PC","Percentage","0","Units",,,3.2,,
"POL","Poland","LRHUTTTT","Unemployment rate (monthly), Total, All persons","STSA","Level, rate or quantity series, s.a.","M","Monthly","2019-08","Aug-2019","PC","Percentage","0","Units",,,3.1,,
